"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","season"
"SC0","20/03/15","Motherwell","Hamilton",4,0,"H",0,0,"D",14,10,8,"2",10,12,8,3,0,3,0,1,"14/15"
"SC0","14/03/15","Partick","St Johnstone",3,0,"H",2,0,"H",8,2,4,"1",8,10,5,5,1,1,0,0,"14/15"
"SC0","14/03/15","Kilmarnock","St Mirren",1,0,"H",0,0,"D",8,5,4,"2",11,11,5,8,1,2,0,0,"14/15"
"SC0","14/03/15","Hamilton","Ross County",2,2,"D",2,1,"H",9,6,4,"3",9,13,3,4,1,3,0,0,"14/15"
"SC0","13/03/15","Aberdeen","Motherwell",2,1,"H",0,1,"A",14,7,5,"4",5,16,7,2,0,3,0,0,"14/15"
"SC0","07/03/15","Ross County","Partick",1,0,"H",1,0,"H",7,15,4,"4",5,14,2,5,1,4,0,1,"14/15"
"SC0","07/03/15","Motherwell","Kilmarnock",1,1,"D",1,1,"D",17,7,8,"3",13,13,11,3,1,1,0,1,"14/15"
"SC0","04/03/15","Celtic","St Johnstone",0,1,"A",0,0,"D",13,6,7,"3",10,9,7,7,1,2,0,0,"14/15"
"SC0","01/03/15","Celtic","Aberdeen",4,0,"H",1,0,"H",10,10,8,"5",14,10,4,8,2,3,0,0,"14/15"
"SC0","28/02/15","St Mirren","Hamilton",1,0,"H",0,0,"D",11,7,5,"1",11,10,10,5,1,2,0,0,"14/15"
"SC0","28/02/15","St Johnstone","Kilmarnock",0,0,"D",0,0,"D",7,9,5,"6",7,15,12,2,4,2,0,0,"14/15"
"SC0","28/02/15","Ross County","Dundee",1,0,"H",0,0,"D",11,5,5,"0",14,11,4,1,2,1,0,0,"14/15"
"SC0","28/02/15","Motherwell","Inverness C",2,1,"H",0,0,"D",14,10,4,"1",12,11,8,4,1,3,1,0,"14/15"
"SC0","28/02/15","Dundee United","Partick",0,2,"A",0,2,"A",4,8,1,"3",9,12,5,2,1,0,0,0,"14/15"
"SC0","24/02/15","Dundee United","Inverness C",1,1,"D",0,1,"A",8,7,4,"3",17,16,2,2,3,4,1,1,"14/15"
"SC0","22/02/15","Celtic","Hamilton",4,0,"H",0,0,"D",22,1,12,"0",4,6,13,2,0,2,0,0,"14/15"
"SC0","21/02/15","Partick","Ross County",1,3,"A",0,1,"A",13,10,3,"6",16,11,3,6,2,3,0,0,"14/15"
"SC0","21/02/15","Motherwell","Dundee",0,1,"A",0,1,"A",4,6,1,"4",17,12,5,7,1,0,0,0,"14/15"
"SC0","21/02/15","Inverness C","Kilmarnock",3,3,"D",2,2,"D",9,7,5,"6",11,20,10,4,1,3,0,0,"14/15"
"SC0","21/02/15","Dundee United","St Johnstone",0,2,"A",0,2,"A",8,5,0,"4",10,12,11,3,2,0,0,0,"14/15"
"SC0","21/02/15","Aberdeen","St Mirren",3,0,"H",1,0,"H",16,8,4,"3",11,8,4,1,0,0,0,0,"14/15"
"SC0","15/02/15","Hamilton","Aberdeen",0,3,"A",0,2,"A",9,17,4,"10",8,10,5,11,0,0,1,0,"14/15"
"SC0","14/02/15","St Mirren","Inverness C",1,2,"A",0,1,"A",7,14,3,"6",12,17,5,5,0,2,0,0,"14/15"
"SC0","14/02/15","St Johnstone","Celtic",1,2,"A",0,1,"A",9,19,7,"8",8,17,5,9,2,2,0,0,"14/15"
"SC0","14/02/15","Ross County","Motherwell",3,2,"H",1,0,"H",11,7,7,"6",13,15,8,7,4,1,0,0,"14/15"
"SC0","14/02/15","Kilmarnock","Dundee United",3,2,"H",1,2,"A",10,5,6,"2",9,14,3,5,3,2,0,0,"14/15"
"SC0","14/02/15","Dundee","Partick",1,0,"H",0,0,"D",8,7,2,"0",12,17,4,10,1,3,0,0,"14/15"
"SC0","11/02/15","Partick","Celtic",0,3,"A",0,2,"A",9,12,3,"6",9,14,3,5,0,0,0,0,"14/15"
"SC0","07/02/15","Hamilton","Kilmarnock",0,0,"D",0,0,"D",16,7,6,"4",16,10,1,2,2,2,0,0,"14/15"
"SC0","07/02/15","Aberdeen","Ross County",4,0,"H",1,0,"H",14,3,9,"3",12,12,3,2,2,2,0,0,"14/15"
"SC0","31/01/15","Motherwell","St Johnstone",1,1,"D",0,1,"A",3,8,3,"3",10,11,2,6,0,0,1,0,"14/15"
"SC0","31/01/15","Inverness C","Ross County",1,1,"D",1,0,"H",13,11,5,"1",16,12,10,2,3,2,0,0,"14/15"
"SC0","31/01/15","Dundee","Hamilton",1,1,"D",0,0,"D",11,8,3,"3",10,17,9,7,2,4,0,1,"14/15"
"SC0","30/01/15","Partick","St Mirren",0,1,"A",0,1,"A",10,5,5,"2",13,8,6,3,2,2,0,0,"14/15"
"SC0","24/01/15","St Mirren","Dundee",1,2,"A",1,0,"H",8,12,3,"7",9,13,8,4,1,2,1,0,"14/15"
"SC0","24/01/15","Ross County","Celtic",0,1,"A",0,0,"D",11,15,3,"2",5,23,4,4,1,3,0,0,"14/15"
"SC0","24/01/15","Kilmarnock","Partick",2,2,"D",1,1,"D",7,12,2,"6",7,15,10,3,0,0,0,0,"14/15"
"SC0","24/01/15","Hamilton","Inverness C",0,2,"A",0,0,"D",3,8,2,"7",19,5,6,4,1,2,0,0,"14/15"
"SC0","24/01/15","Dundee United","Motherwell",3,1,"H",0,0,"D",14,6,10,"3",9,9,13,0,1,0,0,0,"14/15"
"SC0","23/01/15","St Johnstone","Aberdeen",1,1,"D",1,0,"H",15,18,5,"5",12,16,2,5,4,3,0,0,"14/15"
"SC0","21/01/15","St Mirren","Dundee United",1,1,"D",1,1,"D",13,11,6,"3",11,8,11,8,1,2,0,0,"14/15"
"SC0","21/01/15","Partick","Hamilton",5,0,"H",2,0,"H",12,8,8,"1",5,8,9,4,1,2,0,0,"14/15"
"SC0","21/01/15","Dundee","Kilmarnock",1,0,"H",1,0,"H",8,5,2,"4",7,14,2,4,1,5,0,0,"14/15"
"SC0","21/01/15","Celtic","Motherwell",4,0,"H",2,0,"H",17,2,7,"0",2,4,5,2,0,1,0,0,"14/15"
"SC0","20/01/15","Inverness C","St Johnstone",2,0,"H",2,0,"H",14,2,9,"0",7,12,2,8,0,4,0,0,"14/15"
"SC0","17/01/15","St Johnstone","Partick",2,0,"H",1,0,"H",5,4,2,"2",9,11,3,4,1,1,0,0,"14/15"
"SC0","17/01/15","Ross County","St Mirren",1,2,"A",0,1,"A",12,10,7,"3",5,10,11,2,2,0,0,1,"14/15"
"SC0","17/01/15","Hamilton","Celtic",0,2,"A",0,1,"A",12,16,3,"7",11,9,6,6,2,2,0,0,"14/15"
"SC0","17/01/15","Aberdeen","Dundee",3,3,"D",1,2,"A",15,7,7,"7",10,6,9,1,0,2,0,0,"14/15"
"SC0","12/01/15","Hamilton","Dundee United",2,3,"A",0,1,"A",10,15,5,"6",24,11,4,5,2,3,0,0,"14/15"
"SC0","10/01/15","St Mirren","Aberdeen",0,2,"A",0,2,"A",15,10,4,"6",8,8,5,6,1,0,0,0,"14/15"
"SC0","10/01/15","Kilmarnock","Inverness C",1,2,"A",0,0,"D",6,7,1,"4",9,6,6,7,3,1,0,1,"14/15"
"SC0","10/01/15","Dundee","Motherwell",4,1,"H",3,1,"H",21,3,10,"1",4,14,11,6,0,3,0,1,"14/15"
"SC0","05/01/15","Kilmarnock","Celtic",0,2,"A",0,1,"A",6,19,2,"5",8,7,4,9,2,2,0,0,"14/15"
"SC0","04/01/15","St Johnstone","Hamilton",0,1,"A",0,1,"A",5,14,2,"5",13,14,8,5,2,2,1,0,"14/15"
"SC0","04/01/15","Partick","Dundee United",2,2,"D",2,1,"H",11,9,7,"3",13,10,6,2,4,3,0,0,"14/15"
"SC0","04/01/15","Motherwell","Aberdeen",0,2,"A",0,1,"A",7,14,2,"5",9,4,3,7,1,0,1,0,"14/15"
"SC0","04/01/15","Inverness C","St Mirren",1,0,"H",0,0,"D",16,7,5,"2",12,10,6,3,1,1,0,0,"14/15"
"SC0","04/01/15","Dundee","Ross County",1,1,"D",0,0,"D",17,4,3,"2",10,14,6,4,2,2,0,1,"14/15"
"SC0","01/01/15","St Mirren","Kilmarnock",1,2,"A",0,0,"D",8,9,1,"5",17,19,5,3,2,3,1,1,"14/15"
"SC0","01/01/15","Ross County","Inverness C",1,3,"A",0,1,"A",9,16,1,"7",19,15,3,9,5,2,0,0,"14/15"
"SC0","01/01/15","Hamilton","Motherwell",5,0,"H",2,0,"H",20,3,8,"0",7,4,5,4,0,0,0,0,"14/15"
"SC0","01/01/15","Dundee United","Dundee",6,2,"H",4,1,"H",17,8,10,"5",9,13,4,4,1,4,0,0,"14/15"
"SC0","01/01/15","Aberdeen","St Johnstone",2,0,"H",1,0,"H",16,5,7,"3",17,9,8,4,0,2,0,0,"14/15"
"SC0","28/12/14","Inverness C","Aberdeen",0,1,"A",0,1,"A",17,10,6,"3",13,10,7,5,1,1,0,0,"14/15"
"SC0","27/12/14","St Johnstone","Dundee United",2,1,"H",0,1,"A",8,12,5,"3",10,8,7,0,1,1,0,0,"14/15"
"SC0","27/12/14","Motherwell","Partick",1,0,"H",1,0,"H",2,1,2,"0",2,11,4,8,1,2,0,0,"14/15"
"SC0","27/12/14","Kilmarnock","Hamilton",1,0,"H",0,0,"D",10,15,8,"7",11,13,3,7,1,1,0,0,"14/15"
"SC0","27/12/14","Dundee","St Mirren",1,3,"A",0,1,"A",9,10,6,"4",8,13,11,5,1,3,1,0,"14/15"
"SC0","27/12/14","Celtic","Ross County",0,0,"D",0,0,"D",14,3,4,"1",10,9,15,1,1,4,0,0,"14/15"
"SC0","21/12/14","Dundee United","Celtic",2,1,"H",1,0,"H",6,17,6,"7",10,9,6,5,1,1,0,0,"14/15"
"SC0","20/12/14","St Mirren","Motherwell",0,1,"A",0,0,"D",10,5,4,"2",8,15,9,2,2,3,1,0,"14/15"
"SC0","20/12/14","St Johnstone","Inverness C",1,0,"H",0,0,"D",9,10,4,"4",14,20,8,2,0,3,0,1,"14/15"
"SC0","20/12/14","Ross County","Hamilton",0,1,"A",0,1,"A",9,10,2,"3",11,12,3,5,0,1,0,0,"14/15"
"SC0","20/12/14","Partick","Dundee",1,1,"D",0,0,"D",13,8,3,"1",15,8,2,4,3,2,0,0,"14/15"
"SC0","20/12/14","Aberdeen","Kilmarnock",1,0,"H",0,0,"D",18,8,5,"3",12,7,3,4,1,2,0,0,"14/15"
"SC0","14/12/14","Celtic","St Mirren",4,1,"H",3,1,"H",22,4,13,"1",14,8,8,2,0,0,0,0,"14/15"
"SC0","13/12/14","Motherwell","Ross County",2,2,"D",0,1,"A",6,20,3,"8",8,13,1,11,0,0,0,0,"14/15"
"SC0","13/12/14","Kilmarnock","St Johnstone",0,1,"A",0,0,"D",12,10,5,"4",9,17,4,5,2,1,0,0,"14/15"
"SC0","13/12/14","Inverness C","Partick",0,4,"A",0,2,"A",6,13,4,"8",12,6,7,5,0,1,0,0,"14/15"
"SC0","13/12/14","Hamilton","Dundee",2,1,"H",2,0,"H",9,6,4,"4",16,17,4,3,3,3,0,1,"14/15"
"SC0","13/12/14","Dundee United","Aberdeen",0,2,"A",0,2,"A",7,11,1,"4",8,9,4,7,1,1,0,0,"14/15"
"SC0","06/12/14","St Mirren","St Johnstone",0,1,"A",0,1,"A",13,13,9,"5",15,10,3,6,4,4,0,0,"14/15"
"SC0","06/12/14","Partick","Kilmarnock",1,1,"D",1,1,"D",6,4,1,"2",15,11,5,3,2,1,0,0,"14/15"
"SC0","06/12/14","Motherwell","Celtic",0,1,"A",0,1,"A",7,20,1,"6",10,9,1,10,1,1,1,0,"14/15"
"SC0","06/12/14","Dundee","Inverness C",1,2,"A",1,0,"H",7,11,1,"4",13,12,2,8,2,1,0,0,"14/15"
"SC0","06/12/14","Aberdeen","Hamilton",3,0,"H",1,0,"H",13,6,6,"3",6,13,9,1,1,4,0,1,"14/15"
"SC0","05/12/14","Ross County","Dundee United",2,3,"A",0,1,"A",9,12,7,"6",10,13,8,4,1,1,1,0,"14/15"
"SC0","03/12/14","Celtic","Partick",1,0,"H",0,0,"D",21,6,8,"3",4,7,9,2,0,0,0,0,"14/15"
"SC0","23/11/14","Partick","Aberdeen",0,1,"A",0,1,"A",6,11,0,"7",8,15,3,6,1,1,0,0,"14/15"
"SC0","22/11/14","St Johnstone","Ross County",2,1,"H",1,0,"H",4,13,4,"2",12,9,9,9,3,3,0,0,"14/15"
"SC0","22/11/14","Inverness C","Motherwell",3,1,"H",1,1,"D",20,4,8,"1",11,14,7,1,2,2,0,0,"14/15"
"SC0","22/11/14","Hamilton","St Mirren",3,0,"H",1,0,"H",17,6,8,"1",10,6,8,4,2,0,0,0,"14/15"
"SC0","22/11/14","Dundee United","Kilmarnock",3,1,"H",2,1,"H",12,9,7,"5",15,11,6,6,2,3,0,0,"14/15"
"SC0","22/11/14","Celtic","Dundee",2,1,"H",1,0,"H",14,10,6,"4",12,12,5,5,2,1,0,0,"14/15"
"SC0","09/11/14","Aberdeen","Celtic",1,2,"A",1,1,"D",12,9,3,"6",15,11,5,5,2,2,0,1,"14/15"
"SC0","08/11/14","St Mirren","Partick",0,1,"A",0,0,"D",9,8,1,"5",12,16,4,3,3,3,0,0,"14/15"
"SC0","08/11/14","Kilmarnock","Ross County",0,3,"A",0,3,"A",14,11,5,"6",12,12,6,3,6,3,0,0,"14/15"
"SC0","08/11/14","Inverness C","Hamilton",4,2,"H",1,1,"D",14,8,10,"5",10,13,7,2,1,2,0,0,"14/15"
"SC0","08/11/14","Dundee","St Johnstone",1,1,"D",1,0,"H",15,8,8,"5",10,12,10,9,4,1,0,0,"14/15"
"SC0","07/11/14","Motherwell","Dundee United",1,0,"H",0,0,"D",6,14,2,"2",10,6,2,7,3,2,0,0,"14/15"
"SC0","03/11/14","Ross County","Aberdeen",0,1,"A",0,0,"D",8,15,2,"4",14,12,2,6,1,1,0,0,"14/15"
"SC0","01/11/14","Kilmarnock","Dundee",1,3,"A",0,1,"A",10,7,3,"5",6,11,7,4,1,2,0,0,"14/15"
"SC0","01/11/14","Hamilton","Partick",3,3,"D",2,1,"H",12,7,8,"4",12,17,3,6,1,3,0,0,"14/15"
"SC0","01/11/14","Dundee United","St Mirren",3,0,"H",1,0,"H",11,14,6,"7",9,11,5,7,1,4,0,0,"14/15"
"SC0","01/11/14","Celtic","Inverness C",1,0,"H",0,0,"D",14,10,3,"4",11,9,7,8,2,2,0,0,"14/15"
"SC0","31/10/14","St Johnstone","Motherwell",2,1,"H",1,1,"D",10,11,5,"5",5,16,7,5,0,2,0,0,"14/15"
"SC0","26/10/14","Celtic","Kilmarnock",2,0,"H",1,0,"H",20,3,10,"0",14,8,6,3,1,1,0,1,"14/15"
"SC0","25/10/14","St Mirren","Ross County",2,2,"D",1,1,"D",15,7,8,"4",11,15,11,6,0,1,0,0,"14/15"
"SC0","25/10/14","Partick","St Johnstone",0,0,"D",0,0,"D",12,9,4,"3",11,13,7,4,2,2,0,0,"14/15"
"SC0","25/10/14","Inverness C","Dundee United",1,0,"H",1,0,"H",20,9,5,"1",8,17,10,4,0,2,0,0,"14/15"
"SC0","25/10/14","Dundee","Hamilton",2,0,"H",0,0,"D",8,10,3,"2",14,14,7,2,2,2,0,0,"14/15"
"SC0","24/10/14","Aberdeen","Motherwell",1,0,"H",1,0,"H",13,4,3,"1",4,13,2,6,0,2,0,0,"14/15"
"SC0","18/10/14","St Mirren","Inverness C",0,1,"A",0,1,"A",9,7,2,"4",14,16,4,3,4,3,0,2,"14/15"
"SC0","18/10/14","St Johnstone","Kilmarnock",1,2,"A",1,2,"A",10,9,4,"7",13,15,6,4,3,2,0,0,"14/15"
"SC0","18/10/14","Ross County","Celtic",0,5,"A",0,4,"A",5,12,0,"6",13,9,2,10,0,0,0,0,"14/15"
"SC0","18/10/14","Motherwell","Dundee",1,3,"A",0,2,"A",12,10,10,"7",8,10,10,4,1,2,0,0,"14/15"
"SC0","18/10/14","Dundee United","Partick",1,0,"H",0,0,"D",10,12,6,"4",7,11,4,7,2,3,0,1,"14/15"
"SC0","17/10/14","Hamilton","Aberdeen",3,0,"H",1,0,"H",6,8,3,"3",14,13,5,4,5,2,0,0,"14/15"
"SC0","05/10/14","Inverness C","Ross County",1,1,"D",0,1,"A",19,14,10,"6",8,16,8,4,1,2,0,0,"14/15"
"SC0","05/10/14","Celtic","Hamilton",0,1,"A",0,0,"D",16,5,7,"2",13,6,11,4,2,1,0,0,"14/15"
"SC0","04/10/14","St Johnstone","St Mirren",1,2,"A",0,1,"A",5,7,1,"2",11,12,5,3,0,3,0,0,"14/15"
"SC0","04/10/14","Partick","Motherwell",3,1,"H",1,0,"H",12,8,6,"5",9,11,5,5,3,1,0,0,"14/15"
"SC0","04/10/14","Dundee","Aberdeen",2,3,"A",1,2,"A",13,6,4,"2",14,18,5,7,2,2,0,0,"14/15"
"SC0","03/10/14","Kilmarnock","Dundee United",2,0,"H",0,0,"D",15,11,6,"3",14,10,7,2,3,2,0,0,"14/15"
"SC0","30/09/14","Aberdeen","St Mirren",2,2,"D",1,0,"H",21,10,11,"5",16,12,7,5,2,3,0,0,"14/15"
"SC0","27/09/14","St Mirren","Celtic",1,2,"A",0,1,"A",6,11,2,"2",11,12,5,6,2,1,0,0,"14/15"
"SC0","27/09/14","Ross County","Dundee",2,1,"H",1,0,"H",15,8,5,"4",13,17,7,3,1,2,0,0,"14/15"
"SC0","27/09/14","Motherwell","Hamilton",0,4,"A",0,2,"A",9,23,3,"9",15,16,9,4,5,1,0,0,"14/15"
"SC0","27/09/14","Kilmarnock","Partick",3,0,"H",1,0,"H",11,8,7,"4",5,11,4,3,0,3,0,0,"14/15"
"SC0","27/09/14","Dundee United","St Johnstone",2,0,"H",1,0,"H",6,7,3,"1",13,14,3,5,2,1,0,0,"14/15"
"SC0","27/09/14","Aberdeen","Inverness C",3,2,"H",2,1,"H",10,9,7,"4",16,16,8,2,2,2,0,0,"14/15"
"SC0","21/09/14","Dundee","Dundee United",1,4,"A",0,1,"A",4,11,2,"8",12,18,3,5,1,4,1,0,"14/15"
"SC0","21/09/14","Celtic","Motherwell",1,1,"D",0,1,"A",27,4,10,"1",2,11,8,0,0,1,0,0,"14/15"
"SC0","20/09/14","Inverness C","St Johnstone",2,1,"H",0,0,"D",14,5,5,"1",11,15,4,6,2,1,0,0,"14/15"
"SC0","20/09/14","Hamilton","Kilmarnock",0,0,"D",0,0,"D",8,6,5,"3",9,12,4,2,3,3,0,0,"14/15"
"SC0","20/09/14","Aberdeen","Ross County",3,0,"H",2,0,"H",13,10,10,"3",11,13,7,8,2,3,0,0,"14/15"
"SC0","19/09/14","Partick","St Mirren",1,2,"A",1,0,"H",8,12,1,"7",16,8,3,5,3,3,0,0,"14/15"
"SC0","13/09/14","St Johnstone","Dundee",0,1,"A",0,1,"A",6,9,0,"3",9,11,2,7,2,0,0,0,"14/15"
"SC0","13/09/14","Ross County","Motherwell",1,2,"A",0,0,"D",20,9,7,"7",9,13,6,6,0,2,0,0,"14/15"
"SC0","13/09/14","Partick","Inverness C",3,1,"H",2,1,"H",11,11,7,"5",10,10,5,4,2,2,0,0,"14/15"
"SC0","13/09/14","Kilmarnock","St Mirren",2,1,"H",0,0,"D",8,9,5,"4",14,12,12,8,3,3,0,0,"14/15"
"SC0","13/09/14","Dundee United","Hamilton",2,2,"D",2,2,"D",9,11,4,"5",14,10,5,5,1,1,1,1,"14/15"
"SC0","13/09/14","Celtic","Aberdeen",2,1,"H",1,0,"H",19,10,4,"5",12,7,4,4,1,1,0,0,"14/15"
"SC0","31/08/14","Dundee","Celtic",1,1,"D",1,0,"H",10,13,3,"6",11,7,4,5,1,2,0,0,"14/15"
"SC0","30/08/14","St Mirren","Dundee United",0,3,"A",0,0,"D",13,13,1,"7",8,12,12,3,0,1,0,0,"14/15"
"SC0","30/08/14","Motherwell","St Johnstone",0,1,"A",0,0,"D",8,10,3,"6",10,8,3,1,1,1,0,0,"14/15"
"SC0","30/08/14","Inverness C","Kilmarnock",2,0,"H",0,0,"D",11,7,4,"1",13,12,5,4,2,1,0,0,"14/15"
"SC0","30/08/14","Hamilton","Ross County",4,0,"H",0,0,"D",17,3,11,"3",18,10,17,2,3,2,0,1,"14/15"
"SC0","30/08/14","Aberdeen","Partick",2,0,"H",0,0,"D",16,5,6,"1",8,12,12,1,0,3,0,0,"14/15"
"SC0","23/08/14","St Mirren","Dundee",0,1,"A",0,0,"D",18,10,5,"5",17,14,12,4,1,2,0,0,"14/15"
"SC0","23/08/14","St Johnstone","Aberdeen",1,0,"H",0,0,"D",9,9,2,"1",13,11,5,5,2,2,0,0,"14/15"
"SC0","23/08/14","Partick","Hamilton",1,2,"A",0,0,"D",8,5,5,"4",10,11,7,8,2,3,0,0,"14/15"
"SC0","23/08/14","Kilmarnock","Motherwell",2,0,"H",1,0,"H",17,7,11,"2",14,6,4,7,1,1,0,1,"14/15"
"SC0","23/08/14","Inverness C","Celtic",1,0,"H",0,0,"D",10,13,2,"6",9,9,7,4,0,0,0,0,"14/15"
"SC0","23/08/14","Dundee United","Ross County",2,1,"H",1,0,"H",18,11,9,"3",13,16,8,2,2,2,0,0,"14/15"
"SC0","16/08/14","Ross County","Kilmarnock",1,2,"A",0,1,"A",9,13,8,"6",20,15,6,7,5,3,0,0,"14/15"
"SC0","16/08/14","Motherwell","Inverness C",0,2,"A",0,1,"A",5,17,0,"4",15,11,5,6,2,0,0,0,"14/15"
"SC0","16/08/14","Hamilton","St Johnstone",1,0,"H",1,0,"H",10,4,7,"1",9,12,5,3,2,2,0,0,"14/15"
"SC0","16/08/14","Dundee","Partick",1,1,"D",0,1,"A",9,9,3,"5",12,15,2,1,0,3,0,1,"14/15"
"SC0","16/08/14","Celtic","Dundee United",6,1,"H",3,0,"H",29,7,14,"3",8,10,10,1,0,3,0,0,"14/15"
"SC0","13/08/14","St Mirren","Hamilton",0,2,"A",0,1,"A",9,7,2,"4",10,17,6,6,1,4,0,0,"14/15"
"SC0","13/08/14","St Johnstone","Celtic",0,3,"A",0,0,"D",6,16,1,"8",12,14,3,6,1,1,1,0,"14/15"
"SC0","13/08/14","Partick","Ross County",4,0,"H",1,0,"H",16,9,8,"4",4,4,2,6,2,3,0,0,"14/15"
"SC0","13/08/14","Kilmarnock","Aberdeen",0,2,"A",0,1,"A",12,8,4,"4",8,8,3,5,0,0,0,0,"14/15"
"SC0","13/08/14","Inverness C","Dundee",0,0,"D",0,0,"D",13,4,3,"2",8,12,4,4,1,2,0,0,"14/15"
"SC0","13/08/14","Dundee United","Motherwell",1,0,"H",0,0,"D",10,3,4,"0",16,12,10,8,1,2,0,0,"14/15"
"SC0","10/08/14","Ross County","St Johnstone",1,2,"A",0,1,"A",9,11,5,"5",11,18,4,8,2,0,0,0,"14/15"
"SC0","10/08/14","Aberdeen","Dundee United",0,3,"A",0,2,"A",13,12,0,"5",13,14,9,3,0,2,0,0,"14/15"
"SC0","09/08/14","Motherwell","St Mirren",1,0,"H",0,0,"D",9,20,4,"11",13,16,1,7,1,1,0,1,"14/15"
"SC0","09/08/14","Hamilton","Inverness C",0,2,"A",0,2,"A",8,13,3,"8",12,12,2,4,2,1,0,0,"14/15"
"SC0","09/08/14","Dundee","Kilmarnock",1,1,"D",1,1,"D",14,10,7,"3",5,13,7,4,0,3,0,0,"14/15"
"SC0","15/05/16","Hearts","St Johnstone",2,2,"D",2,2,"D",6,26,5,"7",19,8,4,8,4,4,1,0,"15/16"
"SC0","15/05/16","Celtic","Motherwell",7,0,"H",3,0,"H",24,2,17,"1",7,9,10,3,0,1,0,0,"15/16"
"SC0","15/05/16","Aberdeen","Ross County",0,4,"A",0,2,"A",12,12,3,"5",7,13,12,3,1,2,0,0,"15/16"
"SC0","14/05/16","Partick","Hamilton",2,2,"D",2,2,"D",14,17,6,"3",14,9,4,1,1,0,0,0,"15/16"
"SC0","14/05/16","Kilmarnock","Dundee United",2,4,"A",2,1,"H",12,14,6,"10",9,14,4,7,2,1,0,0,"15/16"
"SC0","14/05/16","Inverness C","Dundee",4,0,"H",0,0,"D",16,7,11,"2",9,10,6,3,0,1,0,0,"15/16"
"SC0","12/05/16","Aberdeen","Hearts",0,1,"A",0,0,"D",8,5,1,"3",9,13,5,2,1,1,0,0,"15/16"
"SC0","11/05/16","St Johnstone","Celtic",2,1,"H",0,0,"D",8,9,3,"4",11,11,4,2,3,1,0,0,"15/16"
"SC0","11/05/16","Ross County","Motherwell",1,3,"A",0,2,"A",9,9,3,"5",10,16,7,9,3,2,0,0,"15/16"
"SC0","11/05/16","Hamilton","Inverness C",0,1,"A",0,1,"A",14,5,3,"3",11,11,12,3,1,2,1,0,"15/16"
"SC0","11/05/16","Dundee","Kilmarnock",1,1,"D",1,0,"H",6,4,5,"2",7,11,12,5,1,2,0,0,"15/16"
"SC0","10/05/16","Dundee United","Partick",3,3,"D",0,2,"A",13,6,4,"4",6,13,9,3,2,1,0,0,"15/16"
"SC0","08/05/16","Celtic","Aberdeen",3,2,"H",2,0,"H",16,9,5,"6",11,13,4,3,2,3,0,0,"15/16"
"SC0","07/05/16","Motherwell","St Johnstone",1,2,"A",1,2,"A",9,9,1,"6",12,6,6,4,2,1,0,0,"15/16"
"SC0","07/05/16","Kilmarnock","Partick",0,2,"A",0,1,"A",10,5,2,"3",8,8,6,7,1,2,0,0,"15/16"
"SC0","07/05/16","Hearts","Ross County",1,1,"D",0,0,"D",10,7,3,"3",20,15,7,2,1,1,0,0,"15/16"
"SC0","07/05/16","Dundee","Hamilton",0,1,"A",0,1,"A",6,9,2,"3",11,20,5,6,2,6,0,0,"15/16"
"SC0","06/05/16","Inverness C","Dundee United",2,3,"A",0,2,"A",11,9,7,"7",9,15,4,1,1,0,0,0,"15/16"
"SC0","02/05/16","Dundee","Dundee United",2,1,"H",0,0,"D",8,6,6,"4",8,11,8,7,3,4,0,0,"15/16"
"SC0","30/04/16","Ross County","St Johnstone",0,1,"A",0,0,"D",4,9,2,"2",17,9,5,4,1,2,0,0,"15/16"
"SC0","30/04/16","Partick","Inverness C",1,4,"A",0,1,"A",7,12,3,"8",6,9,5,6,2,2,0,0,"15/16"
"SC0","30/04/16","Hearts","Celtic",1,3,"A",0,1,"A",6,10,2,"7",13,10,5,8,3,3,0,0,"15/16"
"SC0","30/04/16","Hamilton","Kilmarnock",0,4,"A",0,2,"A",12,12,3,"6",13,17,6,2,6,1,0,0,"15/16"
"SC0","30/04/16","Aberdeen","Motherwell",4,1,"H",2,0,"H",9,6,6,"2",14,16,5,6,3,2,0,1,"15/16"
"SC0","24/04/16","Inverness C","Kilmarnock",3,1,"H",0,1,"A",14,11,6,"4",9,10,12,3,1,0,0,1,"15/16"
"SC0","24/04/16","Dundee United","Hamilton",1,3,"A",0,1,"A",11,10,4,"7",13,11,5,4,2,3,0,0,"15/16"
"SC0","24/04/16","Celtic","Ross County",1,1,"D",1,0,"H",18,7,7,"3",11,10,5,3,1,2,0,0,"15/16"
"SC0","23/04/16","Partick","Dundee",1,2,"A",0,1,"A",13,15,8,"6",14,13,6,5,0,2,0,0,"15/16"
"SC0","23/04/16","Motherwell","Hearts",1,0,"H",1,0,"H",7,9,3,"3",11,12,7,6,2,2,0,0,"15/16"
"SC0","22/04/16","St Johnstone","Aberdeen",3,0,"H",2,0,"H",11,4,4,"1",10,14,4,4,0,2,0,0,"15/16"
"SC0","12/04/16","Inverness C","Hearts",0,0,"D",0,0,"D",7,9,1,"2",14,12,3,3,1,3,0,0,"15/16"
"SC0","09/04/16","Ross County","Partick",1,0,"H",1,0,"H",7,10,4,"5",16,14,0,5,1,3,0,0,"15/16"
"SC0","09/04/16","Motherwell","Celtic",1,2,"A",0,1,"A",9,23,4,"13",17,12,3,6,1,2,0,0,"15/16"
